name,family,target,control_estimate,candidate_estimate,control_relative_error,candidate_relative_error,absolute_error_change_pp
dfe.funded_childcare.early_learning_2_year_olds@2025,dfe_funded_childcare,95031.0,94926.19609069824,94730.13942718506,-0.001102839171446768,-0.0031659203082672117,0.20630811368204435
dfe.funded_childcare.universal_only_children@2025,dfe_funded_childcare,396965.0,398097.26737213135,396970.9009170532,0.0028523103349951447,1.486508143847104e-05,-0.28374452535566735
dfe.funded_childcare.working_parent_children_2_to_4@2025,dfe_funded_childcare,621482.0,620693.0394058228,620743.5235671997,-0.0012694826144236616,-0.0011882507181226374,-0.008123189630102425
dft.bus_fare_receipts.england@2025,dft_local_bus,3417388656.43538,3413014982.893592,3420703193.9844637,-0.001279829127293413,0.0009699035966664229,-0.030992553062699
dft.bus_net_support.england@2025,dft_local_bus,3024904320.8399997,3024788486.4766355,3025547465.1661716,-3.829356273062319e-05,0.00021261641954786764,0.017432285681724446
dwp.benefit_cap.capped_households@2025,dwp_benefit_cap,110637.0,110695.21670913696,110722.17761993408,0.0005261956591100888,0.0007698836730395983,0.02436880139295095
dwp.esa_claimants@2025,dwp_legacy_benefits,1000000.0,800905.8603649139,801054.7412891388,-0.19909413963508607,-0.19894525871086122,-0.014888092422485344
dwp.esa_contrib_claimants@2025,dwp_legacy_benefits,620000.0,620819.2523536682,621533.8441810608,0.0013213747639809884,0.002473942227517405,0.11525674635364165
dwp.esa_income_claimants@2025,dwp_legacy_benefits,180000.0,180348.33646202087,179757.01635742188,0.0019352025667826334,-0.0013499091254340278,-0.058529344134860564
dwp.uc.households@2025,dwp_universal_credit,6197311.0,5905355.915781509,5921636.7649006955,-0.04710996175897754,-0.04448287896142447,-0.2627082797553068
dwp.uc.households_children_1@2025,dwp_universal_credit,1190123.8333333333,958658.2978921045,970143.6153588403,-0.19448861451075508,-0.1848380914768894,-0.9650523033865682
dwp.uc.households_children_2@2025,dwp_universal_credit,1049895.5,982488.795085907,988014.1006622314,-0.0642032515751263,-0.058940532022252266,-0.526271955287403
dwp.uc.households_children_3@2025,dwp_universal_credit,477887.6666666667,477891.95067596436,477592.3685569763,8.964469260215405e-06,-0.0006179236885314771,0.060895921927126166
dwp.uc.households_children_4@2025,dwp_universal_credit,170713.66666666666,170759.3681640625,169877.8620147705,0.0002677084868962436,-0.004895944584964781,0.46282360980685366
dwp.uc.households_children_5_or_more@2025,dwp_universal_credit,76320.08333333333,76415.20346069336,76266.9966430664,0.00124633154479912,-0.0006955795637049082,-0.05507519810942118
dwp.uc.households_couple_no_children@2025,dwp_universal_credit,241130.91666666666,246619.82132911682,246801.37789154053,0.022763172546794937,0.023516110265995354,0.07529377192004166
dwp.uc.households_couple_with_children@2025,dwp_universal_credit,826160.8333333334,826999.3626594543,825913.004535675,0.0010149710471479708,-0.0002999764545341635,-0.07149945926138072
dwp.uc.households_single_no_children@2025,dwp_universal_credit,2990070.1666666665,2992522.4791736603,2992940.4437732697,0.0008201521604182311,0.0009599363715945602,0.013978421117632913
dwp.uc.households_single_with_children@2025,dwp_universal_credit,2138780.1666666665,1839214.2526192775,1855981.93870021,-0.14006391059548154,-0.13222407443921802,-0.7839836156263519
dwp.uc.scotland_households_child_under_1@2025,dwp_universal_credit,14333.222222222223,14293.698974609375,14339.822967529297,-0.002757457255603754,0.0004605206843748264,-0.22969365712289272
dwp.uc.two_child_limit.children_affected@2025,dwp_two_child_limit,597920.0,598350.1328811646,597142.075630188,0.0007193819928494627,-0.0013010509262309535,0.058166893338149075
dwp.uc.two_child_limit.children_claimant_pip@2025,dwp_two_child_limit,235270.0,234708.7303161621,234948.0887451172,-0.0023856406844811944,-0.0013682630802176754,-0.10173776042635191
dwp.uc.two_child_limit.children_disabled_child_element@2025,dwp_two_child_limit,479460.0,479984.01042175293,478389.86698913574,0.0010929179113021517,-0.002231954721695778,0.11390368103936264
dwp.uc.two_child_limit.children_in_3_children_households@2025,dwp_two_child_limit,891930.0,892681.7881393433,892009.286064148,0.0008428779605386765,8.889269802333054e-05,-0.07539852625153459
dwp.uc.two_child_limit.children_in_4_children_households@2025,dwp_two_child_limit,468760.0,469047.0302734375,466136.40002441406,0.0006123181872120061,-0.005596893880847209,0.49845756936352026
dwp.uc.two_child_limit.children_in_5_children_households@2025,dwp_two_child_limit,185120.0,185491.82815551758,185846.0726928711,0.0020085790596239095,0.003922173146451457,0.19135940868275475
dwp.uc.two_child_limit.children_in_6_plus_children_households@2025,dwp_two_child_limit,119720.0,119755.16040039062,119474.77746582031,0.00029368861001190276,-0.002048300485964647,0.1754611875952744
dwp.uc.two_child_limit.children_in_affected_households@2025,dwp_two_child_limit,1665540.0,1666975.806968689,1663466.5362472534,0.0008620669384637804,-0.0012449198174445417,0.03828528789807613
dwp.uc.two_child_limit.households_3_children@2025,dwp_two_child_limit,297310.0,297560.59604644775,297336.4286880493,0.0008428779605386765,8.889269802333054e-05,-0.07539852625153459
dwp.uc.two_child_limit.households_4_children@2025,dwp_two_child_limit,117190.0,117261.75756835938,116534.10000610352,0.0006123181872120061,-0.005596893880847209,0.49845756936352026
dwp.uc.two_child_limit.households_5_children@2025,dwp_two_child_limit,37020.0,37098.365631103516,37169.21453857422,0.0021168457888577964,0.0040306466389578265,0.191380085010003
dwp.uc.two_child_limit.households_6_plus_children@2025,dwp_two_child_limit,18260.0,18265.482360839844,18224.869018554688,0.00030023881926855147,-0.001923931075865964,0.16236922565974124
dwp.uc.two_child_limit.households_affected@2025,dwp_two_child_limit,469780.0,470186.2016067505,469264.61225128174,0.0008646634738611441,-0.0010970832064333554,0.023241973257221132
dwp.uc.two_child_limit.households_claimant_pip@2025,dwp_two_child_limit,65280.0,65115.01516723633,65189.623779296875,-0.002527341188168993,-0.0013844396553787531,-0.114290153279024
dwp.uc.two_child_limit.households_disabled_child_element@2025,dwp_two_child_limit,129630.0,129779.48835754395,129387.85597229004,0.0011531926062172747,-0.0018679628767257653,0.07147702705084906
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_0_to_1_200@2025,dwp_universal_credit,7506.333333333333,7549.726631164551,7501.908332824707,0.005780891402533561,-0.0005895022659033704,-0.5191389136630191
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_10_800_to_12_000@2025,dwp_universal_credit,13313.333333333334,13278.288986206055,13292.263534545898,-0.0026322744462152665,-0.0015826088222910992,-0.10496656239241672
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_12_000_to_13_200@2025,dwp_universal_credit,16121.444444444445,16067.063690185547,16020.69204711914,-0.003373193664271091,-0.006249588718461549,0.28763950541904587
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_13_200_to_14_400@2025,dwp_universal_credit,13317.333333333334,13265.290328979492,13211.862380981445,-0.003907914824327324,-0.007919825216651629,0.40119103923243055
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_14_400_to_15_600@2025,dwp_universal_credit,19657.333333333332,19646.632431030273,19775.19612121582,-0.0005443720224712754,0.005995868609636176,0.5451496587164901
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_15_600_to_16_800@2025,dwp_universal_credit,16443.222222222223,16378.710571289062,16507.149322509766,-0.003923297396417579,0.003887747755494577,-0.003554964092300234
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_16_800_to_18_000@2025,dwp_universal_credit,13441.111111111111,13433.922409057617,13407.74967956543,-0.0005348294492969094,-0.002482044175507437,0.19472147262105274
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_18_000_to_19_200@2025,dwp_universal_credit,10728.555555555555,10777.996124267578,10733.342819213867,0.004608315486274536,0.000446216979864867,-0.4162098506409669
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_19_200_to_20_400@2025,dwp_universal_credit,9653.222222222223,9725.134979248047,9676.722259521484,0.007449611680986409,0.002434424149602962,-0.5015187531383447
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_1_200_to_2_400@2025,dwp_universal_credit,8797.0,8813.124504089355,8721.069076538086,0.0018329548811362362,-0.008631456571776067,0.679850169063983
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_20_400_to_21_600@2025,dwp_universal_credit,6486.888888888889,6539.253356933594,6485.8262939453125,0.008072354705257538,-0.00016380655839446544,-0.7908548146863074
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_21_600_to_22_800@2025,dwp_universal_credit,3981.8888888888887,3994.9493408203125,3966.171630859375,0.003279963930653077,-0.003947186490655557,0.066722256000248
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_22_800_to_24_000@2025,dwp_universal_credit,2761.4444444444443,2750.487060546875,2756.07861328125,-0.003967989984232249,-0.0019431247925300404,-0.2024865191702209
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_24_000_to_25_200@2025,dwp_universal_credit,2131.222222222222,2131.5609130859375,2143.7354125976562,0.0001589186055699888,0.005871368196595939,0.571244959102595
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_25_200_to_26_400@2025,dwp_universal_credit,1475.3333333333333,1468.1308288574219,1486.83203125,-0.0048819506162978196,0.00779396605286946,0.29120154365716405
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_27_600_to_28_800@2025,dwp_universal_credit,746.3333333333334,0.0,0.0,-1.0,-1.0,0.0
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_28_800_to_30_000@2025,dwp_universal_credit,605.7777777777778,0.0,0.0,-1.0,-1.0,0.0
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_2_400_to_3_600@2025,dwp_universal_credit,12256.0,12192.001091003418,12349.63419342041,-0.005221843096979604,0.007639865651143126,0.2418022554163522
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_3_600_to_4_800@2025,dwp_universal_credit,10945.444444444445,10940.92593383789,10989.354064941406,-0.0004128211174511126,0.0040116799934285085,0.3598858875977396
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_4_800_to_6_000@2025,dwp_universal_credit,12492.444444444445,12473.312881469727,12511.995803833008,-0.0015314507148540292,0.0015650547397276845,0.003360402487365523
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_6_000_to_7_200@2025,dwp_universal_credit,12979.666666666666,12898.599021911621,13017.202606201172,-0.006245741654000742,0.002891903197398943,-0.3353838456601799
dwp/uc_payment_dist/COUPLE_NO_CHILDREN_annual_payment_7_200_to_8_400@2025,dwp_universal_credit,16484.444444444445,16494.63247680664,16533.905548095703,0.0006180391699902827,0.003000471372750882,0.23824322027605993
